X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value
ADM,2022-04-01 21:15:40,2021-04-06, PRCH,"Porch Group Inc.",Neagle Matthew,COO,S - Sale+OE,$17.56,"-125,965","317,864",-28%,"-$2,212,423"
,2022-04-01 21:09:16,2022-03-31, ZSAN,Zosano Pharma Corp,Matthews Christine,CFO,S - Sale,$0.21,"-8,116","146,425",-5%,"-$1,705"
,2022-04-01 21:07:19,2022-03-31, ZSAN,Zosano Pharma Corp,Lo Steven,CEO,S - Sale,$0.21,"-23,633","460,709",-5%,"-$4,965"
,2022-04-01 19:46:17,2022-03-31, MDV,Modiv Inc.,Halfacre Aaron Scott,CEO,P - Purchase,$18.13,"+3,000","19,763",+18%,"+$54,390"
DM,2022-04-01 19:15:42,2022-03-30, LYV,"Live Nation Entertainment Inc.",Rapino Michael,"Pres, CEO",S - Sale+OE,$117.51,"-234,000","3,028,520",-7%,"-$27,497,460"
M,2022-04-01 19:14:00,2022-03-31, ALHC,"Alignment Healthcare Inc.",Freeman Robert Thomas,CFO,S - Sale,$11.27,"-8,236","1,144,208",-1%,"-$92,835"
DM,2022-04-01 19:03:34,2022-03-30, ISEE,"Iveric Bio Inc.",Sblendorio Glenn,CEO,S - Sale+OE,$17.47,"-43,369","279,689",-13%,"-$757,684"
,2022-04-01 19:01:41,2022-03-31, STWD,"Starwood Property Trust Inc.",Sossen Andrew Jay,"COO, GC",S - Sale,$24.25,"-33,750","293,881",-10%,"-$818,546"
M,2022-04-01 18:58:35,2022-03-31, RDI,Reading International Inc,Cotter Ellen M,"Vice Chair, Pres, CEO, 10%",S - Sale,$4.31,"-5,500","2,110,453",0%,"-$23,688"
,2022-04-01 18:49:35,2022-03-31, ALHC,"Alignment Healthcare Inc.",Kao John E,CEO,S - Sale,$11.18,"-26,366","4,346,744",-1%,"-$294,656"
,2022-04-01 18:20:48,2022-03-30, VNCE,Vince Holding Corp.,Schwefel Jonathan,CEO,S - Sale,$8.06,"-4,585","49,947",-8%,"-$36,955"
,2022-04-01 18:00:43,2022-03-30, ROIV,Roivant Sciences Ltd.,Venker Eric,"Pres, COO",S - Sale,$4.84,"-19,336","1,274,520",-1%,"-$93,586"
,2022-04-01 18:00:16,2022-03-30, ROIV,Roivant Sciences Ltd.,Gline Matthew,CEO,S - Sale,$4.84,"-33,686","1,412,957",-2%,"-$163,040"
,2022-04-01 17:54:36,2022-03-31, BXMT,"Blackstone Mortgage Trust Inc.",Keenan Katharine A,"CEO, Pres",S - Sale,$32.03,-992,"131,006",-1%,"-$31,770"
DM,2022-04-01 17:46:31,2022-03-31, HPQ,Hp Inc,Myers Marie,CFO,S - Sale+OE,$36.52,"-25,138","37,719",-40%,"-$918,027"
,2022-04-01 17:45:29,2022-04-01, HPQ,Hp Inc,Lores Enrique,"Pres, CEO",S - Sale,$36.27,"-34,000","585,204",-5%,"-$1,233,180"
,2022-04-01 17:39:33,2022-03-31, TWLO,Twilio Inc,Shipchandler Khozema,COO,S - Sale,$167.95,"-1,604","101,763",-2%,"-$269,383"
,2022-04-01 17:36:44,2022-03-30, FUSN,Fusion Pharmaceuticals Inc.,Valliant John,CEO,S - Sale,$7.52,-300,"366,960",0%,"-$2,256"
,2022-04-01 17:27:37,2022-03-30, MDV.P,Modiv Inc.,Halfacre Aaron Scott,CEO,P - Purchase,$24.67,+250,250,New,"+$6,168"
,2022-04-01 17:26:47,2022-03-30, MPW,Medical Properties Trust Inc,Aldag Edward K Jr,"COB, Pres, CEO",S - Sale,$21.33,"-615,000","3,497,206",-15%,"-$13,117,950"
D,2022-04-01 17:22:46,2022-03-31, CRKR,"Creek Road Miners Inc.",Kaufman Scott D,"CEO, Pres, 10%",S - Sale+OE,$2.66,"-18,000","1,202,523",-1%,"-$47,950"
D,2022-04-01 17:14:06,2022-04-01, VTR,"Ventas Inc.",Cafaro Debra A,"COB, CEO",S - Sale+OE,$62.49,"-17,400","904,103",-2%,"-$1,087,326"
,2022-04-01 17:05:07,2022-03-31, VFF,"Village Farms International Inc.",Degiglio Michael A,"CEO, 10%",S - Sale,$5.32,"-90,000","9,259,529",-1%,"-$478,602"
D,2022-04-01 16:55:59,2022-03-31, V,Visa Inc.,Kelly Alfred F Jr,"COB, CEO",S - Sale+OE,$223.91,"-9,000","168,887",-5%,"-$2,015,190"
,2022-04-01 16:47:42,2022-03-31, SO,Southern Co,Wilson Anthony L,"Pres, CEO, MPC",S - Sale,$73.00,"-6,850","84,817",-7%,"-$500,050"
,2022-04-01 16:47:37,2022-04-01, ED,Consolidated Edison Inc,Cawley Timothy,"COB, Pres, CEO",P - Purchase,$94.38,+80,"17,695",0%,"+$7,550"
,2022-04-01 16:45:15,2022-03-30, NEM,Newmont Corp /de/,Buese Nancy,"EVP, CFO",S - Sale,$79.00,"-10,000","78,374",-11%,"-$790,000"
M,2022-04-01 16:45:11,2022-03-30, AMZN,Amazon Com Inc,Selipsky Adam,CEO Amazon Web Services,S - Sale,"$3,348.08",-69,"22,296",0%,"-$231,017"
,2022-04-01 16:45:03,2022-03-30, SMCI,"Super Micro Computer Inc.",Liang Charles,"Pres, CEO, 10%",S - Sale,$41.17,"-39,612","6,701,922",-1%,"-$1,630,657"
M,2022-04-01 16:44:36,2022-03-31, RKT,"Rocket Companies Inc.",Farner Jay,CEO,P - Purchase,$11.10,"+22,000","1,735,307",+1%,"+$244,215"
DM,2022-04-01 16:36:12,2022-03-30, ACRG.,"Acreage Holdings Inc.",Caldini Filippo,CEO,S - Sale+OE,$1.57,"-51,853","703,703",-7%,"-$81,583"
DM,2022-04-01 16:34:43,2022-03-30, ACRG.,"Acreage Holdings Inc.",Daino Robert,COO,S - Sale+OE,$1.61,"-32,230","1,421,792",-2%,"-$51,872"
