X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value
ADM,2022/04/01 21:15,2021/04/06, PRCH,Porch Group Inc.,Neagle Matthew,COO,S - Sale+OE,$17.56,-125965,317864,-28%,-$2212423
,2022/04/01 21:09,2022/03/31, ZSAN,Zosano Pharma Corp,Matthews Christine,CFO,S - Sale,$0.21,-8116,146425,-5%,-$1705
,2022/04/01 21:07,2022/03/31, ZSAN,Zosano Pharma Corp,Lo Steven,CEO,S - Sale,$0.21,-23633,460709,-5%,-$4965
,2022/04/01 19:46,2022/03/31, MDV,Modiv Inc.,Halfacre Aaron Scott,CEO,P - Purchase,$18.13,3,19763,+18%,+$54390
DM,2022/04/01 19:15,2022/03/30, LYV,Live Nation Entertainment Inc.,Rapino Michael,Pres CEO,S - Sale+OE,$117.51,-234,3028520,-7%,-$27497460
M,2022/04/01 19:14,2022/03/31, ALHC,Alignment Healthcare Inc.,Freeman Robert Thomas,CFO,S - Sale,$11.27,-8236,1144208,-1%,-$92835
DM,2022/04/01 19:03,2022/03/30, ISEE,Iveric Bio Inc.,Sblendorio Glenn,CEO,S - Sale+OE,$17.47,-43369,279689,-13%,-$757684
,2022/04/01 19:01,2022/03/31, STWD,Starwood Property Trust Inc.,Sossen Andrew Jay,COO GC,S - Sale,$24.25,-3375,293881,-10%,-$818546
M,2022/04/01 18:58,2022/03/31, RDI,Reading International Inc,Cotter Ellen M,Vice Chair Pres CEO 10%,S - Sale,$4.31,-55,2110453,0%,-$23688
,2022/04/01 18:49,2022/03/31, ALHC,Alignment Healthcare Inc.,Kao John E,CEO,S - Sale,$11.18,-26366,4346744,-1%,-$294656
,2022/04/01 18:20,2022/03/30, VNCE,Vince Holding Corp.,Schwefel Jonathan,CEO,S - Sale,$8.06,-4585,49947,-8%,-$36955
,2022/04/01 18:00,2022/03/30, ROIV,Roivant Sciences Ltd.,Venker Eric,Pres COO,S - Sale,$4.84,-19336,1274520,-1%,-$93586
